sub,run,regressor,VIF
1,32,Scene Perception,2.107785163376783
1,32,Face WM,1.658379265456022
1,32,Scene WM,1.8145589901029282
2,1,Face Perception,2.753101242832202
2,1,Scene Perception,2.2668511833954974
2,1,Face WM,2.138103904904559
2,1,Scene WM,1.892995434246522
2,2,Face Perception,2.0768438961842075
2,2,Scene Perception,2.065708500508084
2,2,Face WM,1.8454514190326043
2,2,Scene WM,1.7236088488321188
2,3,Face Perception,2.31329425854357
2,3,Scene Perception,2.333666719669912
2,3,Face WM,1.7082381249575358
2,3,Scene WM,1.8838967479439634
2,4,Face Perception,2.1799559220032774
2,4,Scene Perception,2.625505482199922
2,4,Face WM,1.9998210110454575
2,4,Scene WM,2.0591413353511405
2,5,Face Perception,2.004255809133484
2,5,Scene Perception,2.2914649613372693
2,5,Face WM,1.8452064019437713
2,5,Scene WM,2.235973241955779
2,6,Face Perception,2.6471878742471833
2,6,Scene Perception,2.6971214996440542
2,6,Face WM,1.831343965800677
2,6,Scene WM,2.1972516839509746
2,7,Face Perception,2.4329864562908954
2,7,Scene Perception,2.53271565685335
2,7,Face WM,2.0453771386267032
2,7,Scene WM,2.1981391068586107
2,8,Face Perception,2.094044356339906
2,8,Scene Perception,2.1431363562925076
2,8,Face WM,1.7805335845767054
2,8,Scene WM,1.878809664609032
2,9,Face Perception,2.589797266575539
2,9,Scene Perception,3.0829554110380584
2,9,Face WM,1.914320145116461
2,9,Scene WM,2.2925385979801742
2,10,Face Perception,2.0215985638753193
2,10,Scene Perception,2.8945419579040212
2,10,Face WM,1.7077068244335143
2,10,Scene WM,2.240431763221739
2,11,Face Perception,2.3194446630896484
2,11,Scene Perception,2.102182210887422
2,11,Face WM,2.0526167471419456
2,11,Scene WM,1.830800213315725
2,12,Face Perception,2.4612648743671217
2,12,Scene Perception,2.1207739961062595
2,12,Face WM,1.8511009710544168
2,12,Scene WM,1.8650111583334985
2,13,Face Perception,2.244663820235758
2,13,Scene Perception,1.917979965652575
2,13,Face WM,1.8788383936412172
2,13,Scene WM,1.690268731525417
2,14,Face Perception,2.213518995842875
2,14,Scene Perception,2.126620405874963
2,14,Face WM,1.8309726784019158
2,14,Scene WM,1.8372637127229943
2,15,Face Perception,2.2470597160329318
2,15,Scene Perception,2.040647280512742
2,15,Face WM,2.0719000365211837
2,15,Scene WM,1.7677339425350973
2,16,Face Perception,2.2863419101286766
2,16,Scene Perception,2.0925131314137717
2,16,Face WM,1.9048483381321486
2,16,Scene WM,1.9306592214248126
2,17,Face Perception,2.289394295309926
2,17,Scene Perception,2.1146238075114443
2,17,Face WM,1.9822534109248953
2,17,Scene WM,1.9053841543733563
2,18,Face Perception,2.09879204897568
2,18,Scene Perception,2.1803910038054943
2,18,Face WM,1.752601814729765
2,18,Scene WM,1.7847212573961733
2,19,Face Perception,2.1202398806279588
2,19,Scene Perception,2.4494937233858827
2,19,Face WM,1.782069408266094
2,19,Scene WM,2.190982608232637
2,20,Face Perception,1.9621802247704176
